iteration,best_fitness,mean_fitness
1,26425.02525998789,26498.229106267205
2,25820.753443785008,25925.509756737694
3,26533.557660400093,26588.630475751474
4,26137.382765330243,26203.023330024684
5,25899.33457618974,26023.027951704866
6,26137.382765330243,26203.15021154809
7,26449.148796160134,26520.859249899157
8,25899.33457618974,26023.804730550488
9,25904.116587777487,25976.80710648557
10,26449.148796160134,26520.783356223023
11,25982.798391650394,26057.7272712969
12,25709.26379201527,25820.96220473825
13,26501.99979521089,26618.745343154606
14,25562.789577486343,25612.9811625718
15,26296.233287541036,26404.437589741094
16,26046.226279975395,26159.7762065451
17,25863.062603747407,25960.74804660229
18,25874.28640983744,25931.35164319638
19,25986.0078297443,26089.041193746893
20,26478.376800083,26542.040764044854
21,26011.229808155535,26111.18930412818
22,25820.753443785008,25925.03127666501
23,25984.760460756686,26045.879364359374
24,25800.958154809334,25913.8714867853
25,26050.576166439972,26112.252752562163
26,26046.226279975395,26159.55992697426
27,26449.148796160134,26505.34900669895
28,26011.229808155535,26125.24516231225
29,25863.062603747407,25960.85543509156
30,26046.226279975395,26179.28215724967
31,26011.229808155535,26111.155391107703
32,25904.116587777487,25977.156514678252
33,26501.99979521089,26612.370311627357
34,26276.8923031448,26350.63682287824
35,25899.33457618974,26022.99792007522
36,26425.02525998789,26498.21476106856
37,26054.387073678547,26132.043623140784
38,26449.148796160134,26519.04635549041
39,25863.062603747407,25960.882341252756
40,25562.789577486343,25612.95790419296
41,26174.595054935668,26230.787260479978
42,25807.85157414381,25875.18930735231
43,26425.02525998789,26504.121705333753
44,25961.76683635167,26079.68612677771
45,26425.02525998789,26498.289471337066
46,25800.958154809334,25908.529275538833
47,25899.33457618974,26023.027951704866
48,25807.85157414381,25875.348715825083
49,25807.85157414381,25875.18930735231
50,26330.2438432399,26388.095909548025
